run_id,timestamp_utc,entity_id,entity_name,domain,attribute,ratio,n_docs,model_provider,model_id,question,majority_value,minority_value,raw_response,parsed_answer,parsed_confidence,prompt_tokens,completion_tokens,error
b6542016,2026-07-15T07:21:16.407216+00:00,E001,Corvane Savings Bank,banking,monthly_fee,4:0,4,openai,gpt-4o-mini-MOCK,What is the monthly maintenance fee for the EcoSaver Checking account at Corvane Savings Bank?,$25,$35,"{""answer"": ""$25"", ""confidence"": 5}",$25,5,372,8,
b6542016,2026-07-15T07:21:16.407407+00:00,E001,Corvane Savings Bank,banking,monthly_fee,4:0,4,anthropic,claude-haiku-4-5-MOCK,What is the monthly maintenance fee for the EcoSaver Checking account at Corvane Savings Bank?,$25,$35,"{""answer"": ""$25"", ""confidence"": 5}",$25,5,372,8,
b6542016,2026-07-15T07:21:16.407477+00:00,E001,Corvane Savings Bank,banking,monthly_fee,3:1,4,openai,gpt-4o-mini-MOCK,What is the monthly maintenance fee for the EcoSaver Checking account at Corvane Savings Bank?,$25,$35,"{""answer"": ""$25"", ""confidence"": 5}",$25,5,372,8,
b6542016,2026-07-15T07:21:16.407516+00:00,E001,Corvane Savings Bank,banking,monthly_fee,3:1,4,anthropic,claude-haiku-4-5-MOCK,What is the monthly maintenance fee for the EcoSaver Checking account at Corvane Savings Bank?,$25,$35,"{""answer"": ""$25"", ""confidence"": 5}",$25,5,372,8,
b6542016,2026-07-15T07:21:16.407553+00:00,E001,Corvane Savings Bank,banking,monthly_fee,2:2,4,openai,gpt-4o-mini-MOCK,What is the monthly maintenance fee for the EcoSaver Checking account at Corvane Savings Bank?,$25,$35,"{""answer"": ""$25"", ""confidence"": 5}",$25,5,372,8,
b6542016,2026-07-15T07:21:16.407582+00:00,E001,Corvane Savings Bank,banking,monthly_fee,2:2,4,anthropic,claude-haiku-4-5-MOCK,What is the monthly maintenance fee for the EcoSaver Checking account at Corvane Savings Bank?,$25,$35,"{""answer"": ""$25"", ""confidence"": 5}",$25,5,372,8,
b6542016,2026-07-15T07:21:16.407615+00:00,E001,Corvane Savings Bank,banking,monthly_fee,4:1,5,openai,gpt-4o-mini-MOCK,What is the monthly maintenance fee for the EcoSaver Checking account at Corvane Savings Bank?,$25,$35,"{""answer"": ""$25"", ""confidence"": 5}",$25,5,439,8,
b6542016,2026-07-15T07:21:16.407643+00:00,E001,Corvane Savings Bank,banking,monthly_fee,4:1,5,anthropic,claude-haiku-4-5-MOCK,What is the monthly maintenance fee for the EcoSaver Checking account at Corvane Savings Bank?,$25,$35,"{""answer"": ""$25"", ""confidence"": 5}",$25,5,439,8,
b6542016,2026-07-15T07:21:16.407674+00:00,E002,Tessamir Bancorp,banking,lending_cap,4:0,4,openai,gpt-4o-mini-MOCK,What is the maximum lending cap specified by the Orcana Reserve Act at Tessamir Bancorp?,30%,25%,"{""answer"": ""30%"", ""confidence"": 5}",30%,5,351,8,
b6542016,2026-07-15T07:21:16.407701+00:00,E002,Tessamir Bancorp,banking,lending_cap,4:0,4,anthropic,claude-haiku-4-5-MOCK,What is the maximum lending cap specified by the Orcana Reserve Act at Tessamir Bancorp?,30%,25%,"{""answer"": ""30%"", ""confidence"": 5}",30%,5,351,8,
