run_id,timestamp_utc,entity_id,entity_name,domain,attribute,ratio,n_docs,model_provider,model_id,question,majority_value,minority_value,raw_response,parsed_answer,parsed_confidence,prompt_tokens,completion_tokens,error
f6964d12,2026-07-15T22:15:27.089263+00:00,E001,Corvane Savings Bank,banking,headquarters_city,4:0,4,gemini,gemini-3.1-flash-lite,In which city is Corvane Savings Bank headquartered?,Vantry Heights,Redgate Hollow,"{""answer"": ""Vantry Heights"", ""confidence"": 100}",Vantry Heights,100,272,16,
f6964d12,2026-07-15T22:15:27.491213+00:00,E001,Corvane Savings Bank,banking,headquarters_city,4:0,4,openai,gpt-5-mini,In which city is Corvane Savings Bank headquartered?,Vantry Heights,Redgate Hollow,"{""answer"": ""Vantry Heights"", ""confidence"": 100}",Vantry Heights,100,271,24,
f6964d12,2026-07-15T22:15:29.610325+00:00,E001,Corvane Savings Bank,banking,headquarters_city,3:1,4,gemini,gemini-3.1-flash-lite,In which city is Corvane Savings Bank headquartered?,Vantry Heights,Redgate Hollow,"{""answer"": ""Vantry Heights"", ""confidence"": 75}",Vantry Heights,75,272,15,
f6964d12,2026-07-15T22:15:29.982385+00:00,E001,Corvane Savings Bank,banking,headquarters_city,3:1,4,openai,gpt-5-mini,In which city is Corvane Savings Bank headquartered?,Vantry Heights,Redgate Hollow,"{""answer"": ""Vantry Heights"", ""confidence"": 85}",Vantry Heights,85,271,216,
f6964d12,2026-07-15T22:15:32.719738+00:00,E001,Corvane Savings Bank,banking,headquarters_city,2:2,4,gemini,gemini-3.1-flash-lite,In which city is Corvane Savings Bank headquartered?,Vantry Heights,Redgate Hollow,"{""answer"": ""The provided documents contain conflicting information; Document 1 and Document 4 state the headquarters is in Redgate Hollow, while Document 2 and Document 3 state it is in Vantry Heights."", ""confidence"": 50}","The provided documents contain conflicting information; Document 1 and Document 4 state the headquarters is in Redgate Hollow, while Document 2 and Document 3 state it is in Vantry Heights.",50,272,50,
f6964d12,2026-07-15T22:15:33.185450+00:00,E001,Corvane Savings Bank,banking,headquarters_city,2:2,4,openai,gpt-5-mini,In which city is Corvane Savings Bank headquartered?,Vantry Heights,Redgate Hollow,"{""answer"":""Sources conflict: some documents list Vantry Heights, while others list Redgate Hollow"",""confidence"":50}","Sources conflict: some documents list Vantry Heights, while others list Redgate Hollow",50,271,482,
f6964d12,2026-07-15T22:15:38.397173+00:00,E001,Corvane Savings Bank,banking,headquarters_city,4:1,5,gemini,gemini-3.1-flash-lite,In which city is Corvane Savings Bank headquartered?,Vantry Heights,Redgate Hollow,"{""answer"": ""Vantry Heights"", ""confidence"": 95}",Vantry Heights,95,314,15,
f6964d12,2026-07-15T22:15:38.876578+00:00,E001,Corvane Savings Bank,banking,headquarters_city,4:1,5,openai,gpt-5-mini,In which city is Corvane Savings Bank headquartered?,Vantry Heights,Redgate Hollow,"{""answer"": ""Vantry Heights"", ""confidence"": 90}",Vantry Heights,90,313,152,
f6964d12,2026-07-15T22:15:42.115240+00:00,E002,Tessamir Bancorp,banking,founder_name,4:0,4,gemini,gemini-3.1-flash-lite,Who founded Tessamir Bancorp?,Tobias Halloway,Casimir Yamaguchi-Pryce,"{""answer"": ""Tobias Halloway"", ""confidence"": 100}",Tobias Halloway,100,271,17,
f6964d12,2026-07-15T22:15:42.474992+00:00,E002,Tessamir Bancorp,banking,founder_name,4:0,4,openai,gpt-5-mini,Who founded Tessamir Bancorp?,Tobias Halloway,Casimir Yamaguchi-Pryce,"{""answer"": ""Tobias Halloway"", ""confidence"": 95}",Tobias Halloway,95,269,155,
f6964d12,2026-07-15T22:15:44.971038+00:00,E002,Tessamir Bancorp,banking,founder_name,3:1,4,gemini,gemini-3.1-flash-lite,Who founded Tessamir Bancorp?,Tobias Halloway,Casimir Yamaguchi-Pryce,"{""answer"": ""Tobias Halloway"", ""confidence"": 95}",Tobias Halloway,95,274,16,
f6964d12,2026-07-15T22:15:45.362777+00:00,E002,Tessamir Bancorp,banking,founder_name,3:1,4,openai,gpt-5-mini,Who founded Tessamir Bancorp?,Tobias Halloway,Casimir Yamaguchi-Pryce,"{""answer"":""Tobias Halloway"",""confidence"":90}",Tobias Halloway,90,273,216,
