run_id,timestamp_utc,entity_id,entity_name,domain,attribute,ratio,n_docs,trial_index,strategy,doc_positions,model_provider,model_id,question,majority_value,minority_value,raw_response,parsed_answer,parsed_confidence,prompt_tokens,completion_tokens,error
b79b323a,2026-07-16T06:54:07.515988+00:00,E001,Corvane Savings Bank,banking,monthly_fee,4:0,4,1,standard,"[""MAJ"", ""MAJ"", ""MAJ"", ""MAJ""]",gemini,gemini-3.5-flash,What is the monthly maintenance fee for the EcoSaver Checking account at Corvane Savings Bank?,$25,$35,"```json
{""answer"": ""$25"", ""confidence"": 5}
```",$25,5,315,18,
b79b323a,2026-07-16T06:54:09.274295+00:00,E001,Corvane Savings Bank,banking,monthly_fee,4:0,4,1,standard,"[""MAJ"", ""MAJ"", ""MAJ"", ""MAJ""]",openai,gpt-5-mini,What is the monthly maintenance fee for the EcoSaver Checking account at Corvane Savings Bank?,$25,$35,"{""answer"": ""$25"", ""confidence"": 5}",$25,5,316,86,
b79b323a,2026-07-16T06:54:13.612890+00:00,E001,Corvane Savings Bank,banking,monthly_fee,4:0,4,1,standard,"[""MAJ"", ""MAJ"", ""MAJ"", ""MAJ""]",deepseek,deepseek/deepseek-v4-flash,What is the monthly maintenance fee for the EcoSaver Checking account at Corvane Savings Bank?,$25,$35,"{""answer"": ""$25"", ""confidence"": 5}",$25,5,319,13,
b79b323a,2026-07-16T06:54:15.372907+00:00,E001,Corvane Savings Bank,banking,monthly_fee,3:1,4,1,standard,"[""MAJ"", ""MAJ"", ""MAJ"", ""MIN""]",gemini,gemini-3.5-flash,What is the monthly maintenance fee for the EcoSaver Checking account at Corvane Savings Bank?,$25,$35,"```json
{
  ""answer"": ""The monthly maintenance fee for the EcoSaver Checking account at Corvane Savings Bank is $25 according to official bank and news sources (though one forum post mentions $35)."",
  ""confidence"": 5
}
```",The monthly maintenance fee for the EcoSaver Checking account at Corvane Savings Bank is $25 according to official bank and news sources (though one forum post mentions $35).,5,315,58,
b79b323a,2026-07-16T06:54:17.242371+00:00,E001,Corvane Savings Bank,banking,monthly_fee,3:1,4,1,standard,"[""MAJ"", ""MAJ"", ""MAJ"", ""MIN""]",openai,gpt-5-mini,What is the monthly maintenance fee for the EcoSaver Checking account at Corvane Savings Bank?,$25,$35,"{""answer"": ""$25"", ""confidence"": 4}",$25,4,316,150,
b79b323a,2026-07-16T06:54:20.386759+00:00,E001,Corvane Savings Bank,banking,monthly_fee,3:1,4,1,standard,"[""MAJ"", ""MAJ"", ""MAJ"", ""MIN""]",deepseek,deepseek/deepseek-v4-flash,What is the monthly maintenance fee for the EcoSaver Checking account at Corvane Savings Bank?,$25,$35,"{""answer"": ""$25"", ""confidence"": 5}",$25,5,319,106,
b79b323a,2026-07-16T06:54:24.704081+00:00,E001,Corvane Savings Bank,banking,monthly_fee,2:2,4,1,standard,"[""MIN"", ""MIN"", ""MAJ"", ""MAJ""]",gemini,gemini-3.5-flash,What is the monthly maintenance fee for the EcoSaver Checking account at Corvane Savings Bank?,$25,$35,"```json
{
  ""answer"": ""The provided documents contain conflicting information regarding the monthly maintenance fee. Documents 1 and 2 state that the fee is $35, while Documents 3 and 4 state that the fee is $25."",
  ""confidence"": 5
}
```","The provided documents contain conflicting information regarding the monthly maintenance fee. Documents 1 and 2 state that the fee is $35, while Documents 3 and 4 state that the fee is $25.",5,315,64,
b79b323a,2026-07-16T06:54:26.282575+00:00,E001,Corvane Savings Bank,banking,monthly_fee,2:2,4,1,standard,"[""MIN"", ""MIN"", ""MAJ"", ""MAJ""]",openai,gpt-5-mini,What is the monthly maintenance fee for the EcoSaver Checking account at Corvane Savings Bank?,$25,$35,"{""answer"":""Conflicting information: two sources state $35 and two sources state $25."",""confidence"":2}",Conflicting information: two sources state $35 and two sources state $25.,2,316,289,
b79b323a,2026-07-16T06:54:30.795806+00:00,E001,Corvane Savings Bank,banking,monthly_fee,2:2,4,1,standard,"[""MIN"", ""MIN"", ""MAJ"", ""MAJ""]",deepseek,deepseek/deepseek-v4-flash,What is the monthly maintenance fee for the EcoSaver Checking account at Corvane Savings Bank?,$25,$35,"{""answer"": ""$25"", ""confidence"": 2}",$25,2,319,622,
b79b323a,2026-07-16T06:54:40.909934+00:00,E001,Corvane Savings Bank,banking,monthly_fee,4:1,5,1,standard,"[""MAJ"", ""MAJ"", ""MIN"", ""MAJ"", ""MAJ""]",gemini,gemini-3.5-flash,What is the monthly maintenance fee for the EcoSaver Checking account at Corvane Savings Bank?,$25,$35,"```json
{
  ""answer"": ""According to the provided documents, there is a discrepancy. Documents 1, 2, 4, and 5 state that the monthly maintenance fee is $25, while Document 3 states it is $35."",
  ""confidence"": 5
}
```","According to the provided documents, there is a discrepancy. Documents 1, 2, 4, and 5 state that the monthly maintenance fee is $25, while Document 3 states it is $35.",5,374,67,
